"MacroTrends Data Download"
"GOOGL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2004-12-13,4.2761,4.3012,4.2086,4.2334,4782498
2004-12-14,4.2471,4.4413,4.2123,4.4381,11005388
2004-12-15,4.4206,4.4877,4.3876,4.4651,11455998
2004-12-16,4.3916,4.4827,4.37,4.3829,8509197
2004-12-17,4.3961,4.483,4.3849,4.4726,7356984
2004-12-20,4.5186,4.6807,4.5171,4.5953,9761038
2004-12-21,4.6238,4.6663,4.555,4.5637,5476197
2004-12-22,4.5674,4.6407,4.5453,4.627,3878681
2004-12-23,4.6556,4.6842,4.6196,4.6668,3587402
2004-12-27,4.6979,4.8009,4.6966,4.7664,6058444
2004-12-28,4.7714,4.8071,4.744,4.7875,4114752
2004-12-29,4.7632,4.8064,4.7632,4.791,2658412
2004-12-30,4.7927,4.9233,4.7649,4.9077,5856535
2004-12-31,4.9481,4.9643,4.7825,4.7882,7611074
2005-01-03,4.9027,5.0577,4.8545,5.0346,15728619
2005-01-04,5.0003,5.0401,4.8054,4.8307,13653118
2005-01-05,4.8046,4.8903,4.7743,4.8061,8174820
2005-01-06,4.8493,4.8654,4.6623,4.6829,10308654
2005-01-07,4.7349,4.8245,4.6887,4.8146,9589284
2005-01-10,4.8307,4.9201,4.7644,4.8446,7485134
2005-01-11,4.8526,4.9105,4.798,4.8069,6906859
2005-01-12,4.8265,4.8663,4.7314,4.8526,8293921
2005-01-13,4.8525,4.9025,4.8195,4.8513,6798604
2005-01-14,4.8679,4.9675,4.8215,4.9666,9568815
2005-01-18,4.9894,5.092,4.9341,5.0642,13092066
2005-01-19,5.0825,5.0989,4.8855,4.9002,11141822
2005-01-20,4.781,4.8742,4.7686,4.8163,8935730
2005-01-21,4.8317,4.852,4.6722,4.6762,9221830
2005-01-24,4.6864,4.7024,4.4786,4.4885,13920437
2005-01-25,4.5252,4.5262,4.3784,4.399,10586287
2005-01-26,4.4525,4.7044,4.4495,4.7001,12243360
2005-01-27,4.684,4.6907,4.5998,4.6713,6579405
2005-01-28,4.7195,4.8357,4.6281,4.7274,12117745
2005-01-31,4.815,4.8769,4.7616,4.8585,9524748
2005-02-01,4.8277,4.8844,4.7346,4.7661,18640220
2005-02-02,5.3558,5.3846,5.0582,5.1154,32615464
2005-02-03,5.1128,5.2994,5.1116,5.237,12908277
2005-02-04,5.128,5.1598,5.0319,5.0756,14709299
2005-02-07,5.098,5.1263,4.8558,4.8688,12868185
2005-02-08,4.8918,4.9678,4.8314,4.9335,11403140
2005-02-09,4.9862,5.0071,4.7055,4.7582,17176604
2005-02-10,4.7679,4.7739,4.601,4.6688,18841934
2005-02-11,4.636,4.7766,4.6214,4.6544,13022288
2005-02-14,4.5424,4.7954,4.4954,4.7932,38277909
2005-02-15,4.8085,4.9633,4.7954,4.8488,25657735
2005-02-16,4.8357,4.9506,4.8257,4.9278,16495549
2005-02-17,4.9264,4.9611,4.8881,4.9152,10340413
2005-02-18,4.9243,4.9385,4.8844,4.9164,8436828
2005-02-22,4.8846,4.94,4.7287,4.753,13393739
2005-02-23,4.8009,4.8302,4.6856,4.817,15521723
2005-02-24,4.5401,4.7152,4.526,4.6914,25637362
2005-02-25,4.7036,4.717,4.6075,4.6164,9904746
2005-02-28,4.6196,4.7157,4.6159,4.6691,7763887
2005-03-01,4.7013,4.7127,4.6045,4.6211,9359599
2005-03-02,4.6183,4.661,4.5788,4.5992,7269535
2005-03-03,4.6229,4.6631,4.5777,4.6446,7553521
2005-03-04,4.637,4.6506,4.5965,4.6171,6723180
2005-03-07,4.6574,4.709,4.6452,4.6894,8622390
2005-03-08,4.6966,4.7152,4.594,4.5997,7983389
2005-03-09,4.5751,4.5861,4.4745,4.5041,11278861
2005-03-10,4.4957,4.5004,4.406,4.4701,10878889
2005-03-11,4.4815,4.4941,4.3998,4.4159,7967700
2005-03-14,4.4291,4.4308,4.286,4.3461,11052906
2005-03-15,4.3539,4.4706,4.3268,4.4361,10347068
2005-03-16,4.3886,4.4361,4.3466,4.3613,7059299
2005-03-17,4.3993,4.4616,4.3662,4.4529,8198632
2005-03-18,4.4411,4.4805,4.4286,4.4716,7098367
2005-03-21,4.4544,4.5244,4.4022,4.4924,7427438
2005-03-22,4.4999,4.5188,4.4172,4.4358,5589438
2005-03-23,4.4201,4.4765,4.4201,4.4452,4816242
2005-03-24,4.488,4.492,4.4508,4.452,3699032
2005-03-28,4.5123,4.5897,4.4941,4.5058,8672356
